image_id,det_index,crop,x1,y1,x2,y2,det_conf,species_pred,label,updated_at
241120_TRLCAM_0,0,crops/241120_TRLCAM_0_det0.jpg,666,1153,970,1363,0.7308622002601624,animal,coyote,2026-07-02T13:40:54
241120_TRLCAM_0,1,crops/241120_TRLCAM_0_det1.jpg,653,1001,885,1353,0.5293914675712585,animal,coyote,2026-07-02T13:40:54
250117_CAM1,0,crops/250117_CAM1_det0.jpg,797,535,989,704,0.9445861577987671,animal,buck,2026-07-02T13:40:54
250206_KEN1,0,crops/250206_KEN1_det0.jpg,228,901,649,1489,0.9563142657279968,animal,buck,2026-07-02T13:40:54
250206_KEN1,1,crops/250206_KEN1_det1.jpg,1777,1061,2275,1354,0.9505177140235901,animal,buck,2026-07-02T13:40:54
250209_KEN1,0,crops/250209_KEN1_det0.jpg,2215,883,2592,1444,0.9377321004867554,animal,buck,2026-07-02T13:40:54
250209_KEN1,1,crops/250209_KEN1_det1.jpg,1142,1384,1365,1617,0.8753716945648193,animal,raccoon,2026-07-02T13:40:54
250209_KEN1,2,crops/250209_KEN1_det2.jpg,285,1167,437,1307,0.4778946340084076,animal,raccoon,2026-07-02T13:40:54
250209_KEN1,3,crops/250209_KEN1_det3.jpg,1237,1243,1379,1414,,manual,raccoon,2026-07-02T13:40:54
250210_TC1,0,crops/250210_TC1_det0.jpg,1843,1429,2189,1600,0.864608108997345,animal,cat,2026-07-02T13:40:54
250224_KEN1_0,0,crops/250224_KEN1_0_det0.jpg,1056,1496,1609,1829,0.9149250388145447,animal,raccoon,2026-07-02T13:40:54
250224_KEN1_0,1,crops/250224_KEN1_0_det1.jpg,983,1308,1301,1497,0.8636519908905029,animal,raccoon,2026-07-02T13:40:54
250224_KEN1_0,2,crops/250224_KEN1_0_det2.jpg,841,1212,1015,1394,0.814310610294342,animal,raccoon,2026-07-02T13:40:54
250224_KEN1_0,3,crops/250224_KEN1_0_det3.jpg,724,1225,848,1376,0.7834652662277222,animal,raccoon,2026-07-02T13:40:54
250224_KEN1_0,4,crops/250224_KEN1_0_det4.jpg,1208,1258,1405,1421,0.746566116809845,animal,raccoon,2026-07-02T13:40:54
250224_KEN1_0,5,crops/250224_KEN1_0_det5.jpg,1079,1216,1216,1327,0.34542006254196167,animal,raccoon,2026-07-02T13:40:54
250224_KEN1_0,6,crops/250224_KEN1_0_det6.jpg,907,642,1047,865,,manual,raccoon,2026-07-02T13:40:54
250224_KEN1_1,0,crops/250224_KEN1_1_det0.jpg,1247,1221,1515,1513,0.8805384635925293,animal,turkey,2026-07-02T13:40:54
250224_KEN1_1,1,crops/250224_KEN1_1_det1.jpg,329,1091,709,1448,0.8677676320075989,animal,turkey,2026-07-02T13:40:54
250224_KEN1_1,2,crops/250224_KEN1_1_det2.jpg,1365,1064,1539,1298,0.6994597315788269,animal,turkey,2026-07-02T13:40:54
250224_KEN1_1,3,crops/250224_KEN1_1_det3.jpg,370,990,651,1180,0.5807213187217712,animal,turkey,2026-07-02T13:40:54
250224_KEN1_1,4,crops/250224_KEN1_1_det4.jpg,2356,1067,2551,1287,0.37628722190856934,animal,turkey,2026-07-02T13:40:54
250224_KEN1_1,5,crops/250224_KEN1_1_det5.jpg,2360,1068,2475,1284,0.35949015617370605,animal,turkey,2026-07-02T13:40:54
250224_KEN1_1,6,crops/250224_KEN1_1_det6.jpg,876,974,1151,1354,0.23676124215126038,animal,turkey,2026-07-02T13:40:54
250225_KEN1_2,0,crops/250225_KEN1_2_det0.jpg,1905,1461,2348,1730,0.8826125860214233,animal,raccoon,2026-07-02T13:40:54
250225_KEN1_2,1,crops/250225_KEN1_2_det1.jpg,1889,1283,2126,1478,0.8083104491233826,animal,raccoon,2026-07-02T13:40:54
250225_KEN1_2,2,crops/250225_KEN1_2_det2.jpg,1483,1221,1732,1394,0.6449324488639832,animal,raccoon,2026-07-02T13:40:54
250225_KEN1_2,3,crops/250225_KEN1_2_det3.jpg,1384,1213,1520,1368,0.5219696760177612,animal,raccoon,2026-07-02T13:40:54
250225_KEN1_2,4,crops/250225_KEN1_2_det4.jpg,1090,1213,1257,1377,0.21835798025131226,animal,raccoon,2026-07-02T13:40:54
250225_KEN1_2,5,crops/250225_KEN1_2_det5.jpg,1358,647,1510,891,,manual,raccoon,2026-07-02T13:40:54
250301_KEN1_0,0,crops/250301_KEN1_0_det0.jpg,1329,1197,1494,1380,0.8849886059761047,animal,raccoon,2026-07-02T13:40:54
250301_KEN1_0,1,crops/250301_KEN1_0_det1.jpg,1105,1203,1274,1366,0.8739723563194275,animal,raccoon,2026-07-02T13:40:54
250301_KEN1_0,2,crops/250301_KEN1_0_det2.jpg,2117,1395,2576,1682,0.8608222603797913,animal,raccoon,2026-07-02T13:40:54
250301_KEN1_0,3,crops/250301_KEN1_0_det3.jpg,1609,1219,1914,1413,0.8318045735359192,animal,raccoon,2026-07-02T13:40:54
250301_KEN1_0,4,crops/250301_KEN1_0_det4.jpg,858,1233,1021,1424,0.8225476145744324,animal,raccoon,2026-07-02T13:40:54
250301_KEN1_0,5,crops/250301_KEN1_0_det5.jpg,694,1200,778,1354,0.5391553640365601,animal,raccoon,2026-07-02T13:40:54
250301_KEN1_0,6,crops/250301_KEN1_0_det6.jpg,856,1166,955,1255,0.3482605814933777,animal,raccoon,2026-07-02T13:40:54
